lon;lat;ele;time;name;site
5.425487;52.477055;-7.080423;2017-09-05T09:15:45Z;C2;125J
5.425998;52.473158;-2.139429;2017-09-05T11:12:48Z;C4;126E
5.425055;52.473263;-3.752201;2017-09-05T10:12:01Z;C3;126F
5.418579;52.477868;-18.66518;2017-09-05T08:11:26Z;C1;126Y
5.423312;52.471716;-10.685702;2017-09-05T12:05:58Z;C5;127E
5.422491;52.470769;-6.79195;2017-09-05T12:49:55Z;C6;127F
5.428322;52.457921;-4.666632;2017-09-06T15:04:51Z;D9;130C
5.430168;52.460313;na;na;na;130E
5.424881;52.463612;-22.055367;2017-09-01T08:02:43Z;A1;130P
5.42436;52.462942;-10.686556;2017-09-01T08:39:36Z;A2;130Q1
5.422526;52.464141;-7.985041;2017-09-01T09:05:13Z;A3;130T2
5.429236;52.464875;2.945627;2017-09-01T11:22:25Z;A6;131M
5.427993;52.465076;3.042291;2017-09-01T10:18:59Z;A5;131N1
5.427918;52.464432;0.08255;2017-09-01T09:45:30Z;A4;131N2
5.427193;52.469239;-1.155904;2017-09-06T08:10:12Z;D1;131V1
5.426369;52.467818;-2.75494;2017-09-04T10:26:32Z;B5;131V2
5.425759;52.468332;-12.109908;2017-09-04T13:20:42Z;B8;131Y
5.434173;52.470516;-4.970084;2017-09-01T12:09:58Z;A7;132Q
5.437178;52.472609;-9.047688;2017-09-01T13:31:46Z;A9;133U1
5.436343;52.472406;-6.767759;2017-09-01T12:56:13Z;A8;133U2
5.436914;52.474109;11.586143;2017-09-04T08:06:04Z;B1;133V1
5.440489;52.474138;-3.344488;2017-09-04T09:12:59Z;B3;134T
5.439863;52.474809;3.163788;2017-09-04T08:37:21Z;B2;134X
5.44724;52.475023;-3.276508;2017-09-04T09:54:51Z;B4;135J
5.451252;52.465914;na;na;na;156H
5.452375;52.460853;na;na;na;157G
5.45023;52.461558;-7.750191;2017-09-06T10:23:41Z;D4;157L
5.450648;52.459583;-9.334178;2017-09-06T13:45:30Z;D8;158G
5.451252;52.45995;na;na;na;158J1
5.447875;52.461677;-5.608435;2017-09-06T09:43:52Z;D3;158N
5.44475;52.455808;-11.784986;2017-09-06T12:22:39Z;D6;159G
5.442908;52.458714;-3.225014;2017-09-05T15:04:52Z;C8;159L
5.439925;52.45664;-12.453655;2017-09-05T14:23:22Z;C7;159N
5.441688;52.459554;-8.255153;2017-09-06T09:02:41Z;D2;159P
5.438466;52.454868;-13.683321;2017-09-04T11:49:47Z;B6;160L1
