sample;species;pct.n;pct.c;lignin.mg.g;cell.mg.g;lnratio;cnratio
1;fraxinus;2.0502;54.6074;107.7918;76.8466;5.2577;26.6355
2;fraxinus;1.9581;54.4440;105.2463;77.8576;5.3750;27.8049
3;quercus;1.0450;56.5427;205.8312;100.3355;19.6962;54.1064
4;quercus;1.0491;56.4700;219.4553;108.6804;20.9175;53.8247
5;acer;1.3532;55.6044;157.8033;92.9496;11.6615;41.0911
6;acer;1.4367;56.2486;164.1571;83.7273;11.4261;39.1518
7;populus;1.3615;54.4801;187.1799;139.1832;13.7480;40.0146
8;populus;1.3863;54.9580;128.2501;86.4152;9.2516;39.6450
9;fagus;0.8421;55.9814;207.1036;114.9629;24.5932;66.4770
10;fagus;0.8275;55.6904;201.0307;118.5935;24.2944;67.3014
11;picea;1.0643;56.5122;230.5663;113.0384;21.6636;53.0979
12;picea;1.0637;55.9082;225.8942;126.1817;21.2360;52.5586
14;std2;2.6370;57.9609;201.6882;60.2463;7.6485;21.9802
15;std3;2.1550;58.2035;195.9357;57.4283;9.0921;27.0086
16;std4;2.4237;57.9328;198.5056;61.2343;8.1901;23.9024
