"site","species","depth","org.pom","org.sa","org.sc","org.pom","org.sa","org.sc"
"125J","acer",1,0.073824689,0.082083857,0.353560896,0.144905038288832,0.161116350134303,0.693978611576865
"125J","acer",2,0.007250593,0.026335727,0.20826796,0.0299791800252615,0.108890886694252,0.861129933280486
"126E","fagus",1,0.1402058,0.055985654,0.310554478,0.276678688759558,0.110480717189063,0.61284059405138
"126F","picea",1,0.302913,0.157464684,0.421496398,0.343487813263572,0.178556879280187,0.477955307456241
"126F","picea",2,0.03452456,0.031760497,0.183832269,0.138033460344926,0.126982394654259,0.734984145000815
"126Y","fraxinus",1,0.078441355,0.20589657,0.342896982,0.125058975711631,0.328260700579918,0.546680323708451
"126Y","fraxinus",2,0.0338496,0.041004086,0.248620288,0.104643967430901,0.126761623177758,0.768594409391341
"127E","quercus",1,0.187595051,0.080520737,0.323556614,0.317058984610203,0.136090067286931,0.546850948102866
"127E","quercus",2,0.064505402,0.05276246,0.194883786,0.206647641982015,0.169028292299773,0.624324065718211
"127F","populus",1,0.229416745,0.099938855,0.352332449,0.336542125590352,0.146604968572656,0.516852905836992
"127F","populus",2,0.044634643,0.036619494,0.189281957,0.164985907573575,0.135358995757513,0.699655096668912
"130E","picea",1,0.173079517,0.18677568,0.421959831,0.221381670601502,0.238900089293244,0.539718240105254
"130E","picea",2,0.066080419,0.011642863,0.24389575,0.205461780632435,0.0362007898836037,0.758337429483962
"130P","populus",1,0.092819289,0.073412258,0.330400296,0.186897578776478,0.147820279820438,0.665282141403084
"130P","populus",2,0.047019572,0.040124596,0.18482125,0.172888054465807,0.147535654698569,0.679576290835624
"130Q1","acer",1,0.103207728,0.071150286,0.342964126,0.199503790810113,0.137535745135517,0.66296046405437
"130Q1","acer",2,0.027763819,0.024861412,0.203435435,0.108426723376561,0.0970918821245275,0.794481394498911
"130T2","fraxinus",1,0.191328114,0.099790053,0.509724968,0.23890835250776,0.124606241395826,0.636485406096414
"130T2","fraxinus",2,0.045007428,0.030754567,0.278235775,0.12714042803151,0.0868778551910087,0.785981716777481
"131M","quercus",1,0.050784334,0.026962144,0.257567904,0.151452895330926,0.0804085522344222,0.768138552434652
"131M","quercus",2,0.017707498,0.014269389,0.20285812,0.0754039963045203,0.060763466155623,0.863832537539857
"131N1","fagus",1,0.109254331,0.04737519,0.30842861,0.234926181733612,0.101869394043559,0.663204424222829
"131N1","fagus",2,0.021498616,0.033687592,0.143627075,0.108134706472303,0.169443366618517,0.722421926909179
"131N2","picea",1,0.20502494,0.026197141,0.451841825,0.300154843784119,0.0383524012466265,0.661492754969255
"131N2","picea",2,0.052900881,0.030279471,0.215480168,0.177127130830684,0.101384243890019,0.721488625279297
"131V1","fraxinus",1,0.115154774,0.073054183,0.333820426,0.220590598441467,0.139942664874862,0.63946673668367
"131V1","fraxinus",2,0.027599195,0.045169323,0.179360811,0.109464436801004,0.179151402889745,0.711384160309251
"132Q","fagus",1,0.2314364,0.09322425,0.324263232,0.35664645179448,0.143659761315427,0.499693786890093
"132Q","fagus",2,0.028447442,0.02485159,0.140274116,0.146959649589415,0.128383457399784,0.724656893010801
"133U1","picea",1,0.173370121,0.145420133,0.467686397,0.220438993045198,0.184900763188709,0.594660243766092
"133U1","picea",2,0.178065033,0.029020279,0.214915815,0.421953927625411,0.0687682499956925,0.509277822378896
"133U2","populus",1,0.118462317,0.115667485,0.408863414,0.184235718281668,0.179889121878387,0.635875159839944
"133U2","populus",2,0.049162106,0.063739797,0.23807811,0.140070956120228,0.181605204396639,0.678323839483133
"133V1","acer",1,0.117048046,0.067007325,0.416124625,0.195021571495362,0.111645382129664,0.693333046374975
"133V1","acer",2,0.059891141,0.039756649,0.263095442,0.165106156963392,0.109599974562723,0.725293868473885
"134T","quercus",1,0.1763515,0.079810971,0.373683491,0.279991475121976,0.126715063388785,0.593293461489239
"134T","quercus",2,0.0484,0.04669214,0.214599669,0.156284404667609,0.150769696333816,0.692945898998575
"134X","fagus",1,0.12056568,0.07750303,0.317751679,0.233735778133423,0.150251970749454,0.616012251117123
"134X","fagus",2,0.039841825,0.044737451,0.188457852,0.145920905672579,0.163851163128261,0.690227931199159
"135J","acer",1,0.072651175,0.11184633,0.326477621,0.142181431743509,0.21888801295584,0.638930555300651
"135J","acer",2,0.0334475,0.03361427,0.20728389,0.121917365122525,0.122525247893479,0.755557386983997
"156H","picea",1,0.041979215,0.093312828,0.486301459,0.0675348356521269,0.150118731453534,0.782346432894339
"156H","picea",2,0.052761311,0.020432391,0.234998638,0.171196049194474,0.0662975303020185,0.762506420503508
"157G","populus",1,0.2566764,0.092109433,0.456471565,0.318750750551937,0.114385081377421,0.566864168070642
"157G","populus",2,0.1866864,0.026737447,0.278217485,0.379720718843061,0.0543840504443186,0.56589523071262
"157L","quercus",1,0.154815036,0.155843044,0.487903739,0.193867315361843,0.195154639618451,0.610978045019706
"157L","quercus",2,0.027175718,0.052720431,0.266456819,0.0784624949424426,0.152215906519964,0.769321598537594
"158G","quercus",1,0.100306368,0.104867348,0.459145162,0.150991295478434,0.157856944116527,0.691151760405038
"158G","quercus",2,0.040253573,0.036070139,0.225142229,0.133526105358615,0.11964913475914,0.746824759882245
"158J1","picea",1,0.2777795,0.149357449,0.407072168,0.332985452135738,0.179040777613558,0.487973770250703
"158N","fraxinus",1,0.093260551,0.060036242,0.551055255,0.132406161471117,0.0852361289648724,0.782357709564011
"158N","fraxinus",2,0.027020669,0.015534655,0.255079034,0.0907847776095796,0.0521937558028835,0.857021466587537
"159G","populus",1,0.117877166,0.111531564,0.387271615,0.191147921213542,0.180857984050067,0.627994094736391
"159L","fraxinus",1,0.104031006,0.138495842,0.416515398,0.157851801809986,0.210147138276171,0.632001059913844
"159N","acer",1,0.157462819,0.066196736,0.398718634,0.253001827157539,0.106360950897654,0.640637221944807
"159N","acer",2,0.027682354,0.027789435,0.197849302,0.109277730846343,0.10970043943163,0.781021829722027
"159P","picea",1,0.316908964,0.104423617,0.509680859,0.340391395423894,0.112161234750811,0.547447369825295
"159P","picea",2,0.051788772,0.051123351,0.257185251,0.143818799411739,0.141970907569018,0.714210293019243
"160L1","fagus",1,0.178247045,0.036801451,0.34640569,0.317473890915117,0.0655466677738867,0.616979441310996
"160L1","fagus",2,0.048991884,0.029019557,0.21401992,0.167762406860132,0.0993713719671361,0.732866221172732
